url,http_status,title,description,robots,x_robots,protection
/,200,부산 법무사 안윤정 | 다옴법무사사무소,부산 법무사 다옴법무사사무소입니다. 안윤정 법무사가 상속등기·부동산등기·법인등기·개인회생·파산 등 필요한 절차와 준비서류를 직접 상담·안내합니다.,"index, follow",,P0
/부산법무사,200,부산에서 법무사 찾을 때 확인할 업무·비용·상담 기준 | 다옴법무사사무소,"부산에서 법무사를 찾을 때 확인할 업무 범위, 비용 항목, 관할·기한, 상담 전 준비사항을 정리합니다. 다옴법무사사무소 안윤정 법무사가 안내합니다.","index, follow",,P1
/부산법무사상담,200,부산 법무사 상담 | 준비서류·비용·상담방법,부산 법무사 상담. 안윤정 법무사가 전화·카카오톡·네이버 톡톡·예약 방문으로 직접 안내합니다. 서류가 없어도 상황만 알려 주시면 됩니다. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P0
/부산법무사추천,200,부산 법무사 추천 | 상담 전 확인할 7가지 기준,"부산 법무사 추천을 검색할 때 확인할 7가지 기준입니다. 직접 상담, 업무 범위, 기한·관할, 수임료와 공과금, 진행 절차, 사무소 확인, 검증 가능한 후기를 정리했습니다.","index, follow",,P0
/부산등기법무사,200,부산 등기 법무사 | 부동산·상속·법인등기 상담 - 다옴법무사사무소,부산에서 소유권이전·상속·증여·근저당·법인등기를 준비한다면 필요한 서류와 절차를 확인해 보세요. 해운대·센텀 다옴법무사사무소 안윤정 법무사가 등기업무를 직접 상담·진행합니다.,"index, follow",,P0
/부산상속법무사,200,부산 상속 법무사 | 등기·포기·한정승인 먼저 확인,부모님 사망 후 상속등기·상속포기·한정승인 중 어떤 절차가 필요한지 안내합니다. 3개월 기한과 채무 조사를 먼저 확인한 뒤 등기·협의로 이어갈 수 있습니다.,"index, follow",,P0
/부산상속등기,200,부산 상속등기 법무사｜상속인 구성에 따라 달라지는 서류와 진행 순서,상속부동산 명의이전등기에 필요한 서류·협의서·관할 등기소 순서를 안내합니다. 포기·한정승인이 필요한지는 먼저 확인한 뒤 등기를 진행할 수 있습니다.,"index, follow",,P0
/부산상속포기,200,부산 상속포기 법무사｜3개월 기한과 후순위 상속 효과를 먼저 확인,상속채무가 재산보다 많거나 상속을 받지 않기로 한 때 검토하는 상속포기 신고를 안내합니다. 3개월 기한과 후순위 상속인에게 넘어가는 효과를 확인할 수 있습니다.,"index, follow",,P0
/부산한정승인,200,부산 한정승인 법무사｜상속채무가 걱정될 때 3개월 안에 확인할 절차,"상속재산보다 채무가 많거나 채무 규모를 알기 어려울 때 검토하는 한정승인 절차를 안내합니다. 신청기한, 상속재산 처분 여부, 준비서류와 이후 절차를 확인할 수 있습니다.","index, follow",,P0
/부산부동산등기,200,부산 부동산등기 법무사｜잔금·말소·소유권이전 순서를 맞추려면,아파트·상가 매매·증여 등 부동산등기에서 잔금일·근저당 말소·소유권이전 순서를 안내합니다. 관할 등기소와 준비서류를 확인할 수 있습니다. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P0
/부산법무사비용,200,부산 법무사 비용은 어떻게 정해질까｜보수·세금·공과금을 구분해서 확인하세요,"부산 법무사 비용·수수료는 보수와 세금·공과금이 다릅니다. 같은 업무라도 달라지는 이유, 전화 안내와 서류 확인 후 확정의 차이, 견적 전 준비자료를 안내합니다.","index, follow",,P0
/부산법인법무사,200,부산 법무사 법인 업무｜비용·절차·준비서류 총정리,"부산에서 법인설립, 임원변경, 대표이사 변경, 본점이전, 목적변경, 증자, 해산·청산 등 법인 업무를 준비할 때 확인할 절차·준비서류·비용 구성·등기기한을 안윤정 법무사가 안내합니다.","index, follow",,P0
/부산법인등기,200,부산 법인등기 법무사｜임원·본점·사업목적 변경을 놓치지 않으려면,법인설립뿐 아니라 임원·본점·목적·자본금·해산까지 기업이 반복적으로 해야 하는 등기를 안내합니다. 기한·과태료·준비서류를 등기사항증명서 기준으로 확인할 수 있습니다.,"index, follow",,P0
/개인회생파산,200,부산 회생·파산 법무사｜개인회생·개인파산 비교 | 다옴법무사사무소,"소득이 있어 변제 계획을 볼 수 있으면 개인회생, 변제 여력이 거의 없으면 개인파산을 먼저 비교합니다. 부산회생법원 관할. 인가·면책은 보장하지 않습니다.","index, follow",,P0
/부산개인회생,200,부산 개인회생｜신청자격·절차·부산회생법원 안내,"급여·사업소득, 채무·재산, 압류 여부를 기준으로 개인회생 신청 자격과 부산회생법원 준비 순서를 안내합니다. 인가·면책은 보장하지 않습…","index, follow",,P0
/해운대법무사,200,해운대 법무사 | 센텀·재송·우동 부동산·상속 상담,해운대·센텀·재송·우동·좌동 부동산등기·상속등기·법인등기 상담. 다옴법무사사무소는 해운대 센텀에 있으며 안윤정 법무사가 직접 상담합니다. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P0
/센텀법무사,200,센텀 법무사 | 법인설립·임원변경·등기 상담,센텀시티 법인설립·임원변경·본점이전·상업용 부동산 등기 상담. 다옴법무사사무소는 센텀에 있으며 안윤정 법무사가 직접 상담합니다. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P0
/연제구법무사,200,연제구 법무사 | 연산동·거제동 상속·등기 상담,연제구·연산동·거제동 상속등기·법인등기·부동산등기 상담. 다옴법무사사무소는 해운대 센텀에 있으며 안윤정 법무사가 직접 상담합니다. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,"index, follow",,P2
/about,200,안윤정 법무사 소개,"다옴법무사사무소 안윤정 법무사 프로필. 법무사·공인중개사·신용관리사·직업상담사, 교사 자격, 부산대 행정대학원 재학, 대한법무사협회 표창, 기획예산처·부산시·해운대구·민주평통 자문, 시민도서관·청년기관 법률 강의.","index, follow",,P2
